"library_name","total_hits","number_spectra","proportion"
"BILELIB19",25392,177,143.457627118644
"CASMI",9164,568,16.1338028169014
"DEREPLICATOR_IDENTIFIED_LIBRARY",4840,379,12.7704485488127
"GNPS-COLLECTIONS-MISC",5757,46,125.152173913043
"GNPS-COLLECTIONS-PESTICIDES-NEGATIVE",9,76,0.118421052631579
"GNPS-COLLECTIONS-PESTICIDES-POSITIVE",2707,653,4.14548238897397
"GNPS-EMBL-MCF",31082,585,53.1316239316239
"GNPS-FAULKNERLEGACY",1322,127,10.4094488188976
"GNPS-LIBRARY",150457,4697,32.0325739833937
"GNPS-NIH-CLINICALCOLLECTION1",3512,377,9.31564986737401
"GNPS-NIH-CLINICALCOLLECTION2",671,195,3.44102564102564
"GNPS-NIH-NATURALPRODUCTSLIBRARY",4474,1267,3.53117600631413
"GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE",1667,1863,0.894793344068706
"GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE",194438,5796,33.5469289164941
"GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE",4625,1460,3.16780821917808
"GNPS-NIST14-MATCHES",944273,5763,163.85094568801
"GNPS-PRESTWICKPHYTOCHEM",689,143,4.81818181818182
"GNPS-SELLECKCHEM-FDA-PART1",12760,2388,5.34338358458962
"GNPS-SELLECKCHEM-FDA-PART2",5050,656,7.69817073170732
"HMDB",16827,2235,7.52885906040268
"LDB_NEGATIVE",2632,226,11.646017699115
"LDB_POSITIVE",745,83,8.97590361445783
"MASSBANK",110935,11999,9.24535377948162
"MASSBANKEU",9239,1492,6.19235924932976
"MIADB",571,172,3.31976744186047
"MMV_POSITIVE",585,110,5.31818181818182
"MONA",278184,49241,5.64943847606669
"PNNL-LIPIDS-NEGATIVE",3126,16142,0.193656300334531
"PNNL-LIPIDS-POSITIVE",298000,30582,9.74429402916748
"RESPECT",33684,7112,4.73622047244094
"SUMNER",2742,904,3.03318584070796
